Buffalo,Pig,Grazing,Weed
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.667,0.386,0.667
0.667,0.333,0.000,0.000
0.667,0.667,0.828,0.667
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.667,0.895,0.667
0.667,0.667,0.429,0.667
0.667,0.667,0.000,0.667
0.667,0.667,0.467,0.667
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.667,0.067,0.667
0.667,0.667,0.000,0.667
0.667,0.667,0.976,0.667
0.333,0.333,0.930,0.667
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.667,0.806,0.333
0.667,0.667,0.000,0.667
0.667,0.667,0.182,0.667
0.333,0.333,0.591,0.667
0.667,0.333,0.000,0.000
0.333,0.667,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.667,0.000,0.667
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.333,0.852,0.667
0.667,0.333,0.000,0.000
0.667,0.667,0.000,0.667
0.333,0.333,0.073,0.667
0.333,0.667,0.545,0.333
0.667,0.333,0.000,0.000
0.333,0.333,0.000,0.667
0.333,0.667,0.857,0.333
0.333,0.667,0.958,0.333
0.667,0.333,0.000,0.000
0.333,0.667,0.333,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.667
0.667,0.667,0.000,0.667
0.333,0.667,0.208,0.333
0.333,0.667,0.750,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.667
0.667,0.333,0.000,0.000
0.333,0.667,0.938,0.333
0.333,0.667,0.037,0.333
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.333,0.121,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.550,0.333
0.667,0.333,0.000,0.000
0.333,0.667,0.333,0.333
0.667,0.333,0.000,0.000
0.333,0.667,0.800,0.333
0.333,0.667,0.667,0.333
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.333,0.100,0.000
0.333,0.667,0.951,0.333
0.333,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.150,0.333
0.667,0.333,0.000,0.000
0.333,0.333,0.000,0.667
0.333,0.667,0.048,0.333
0.333,0.333,0.000,0.667
0.333,0.667,1.000,0.333
0.333,0.667,0.565,0.333
0.333,0.667,0.353,0.333
0.667,0.333,0.000,0.000
0.333,0.333,0.192,0.000
0.333,0.667,0.955,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.500,0.333
0.333,0.667,0.111,0.333
0.333,0.667,0.278,0.333
0.333,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.667,0.571,0.333
0.333,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.667,0.968,0.333
0.333,0.667,0.878,0.333
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.130,0.333
0.333,0.667,0.733,0.333
0.333,0.667,0.667,0.333
0.333,0.667,0.707,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.467,0.333
0.333,0.667,0.905,0.333
0.333,0.667,0.518,0.333
0.333,0.667,0.143,0.333
0.333,0.333,0.100,0.333
0.333,0.667,0.190,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.667,0.927,0.333
0.667,0.333,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.333,0.029,0.000
0.667,0.333,0.000,0.000
0.333,0.333,0.750,0.000
0.333,0.333,0.387,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.811,0.333
0.333,0.667,0.250,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.333,0.000,0.333
0.333,0.667,0.900,0.333
0.333,0.333,0.000,0.333
0.333,0.333,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.837,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.600,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.324,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.778,0.333
0.333,0.667,0.286,0.333
0.333,0.667,0.826,0.333
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.750,0.333
0.333,0.667,0.250,0.333
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.990,0.333
0.333,0.333,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.667,0.333,0.000,0.000
0.333,0.333,0.000,0.333
0.333,0.333,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.979,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.029,0.000
0.333,0.667,1.000,0.333
0.667,0.333,0.000,0.000
0.333,0.667,0.759,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.566,0.333
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.690,0.333
0.333,0.667,0.800,0.333
0.333,0.667,0.967,0.333
0.333,0.667,0.842,0.000
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.968,0.333
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.315,0.000
0.333,0.667,0.880,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.958,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.667,0.667,0.000,0.333
0.667,0.667,0.000,0.333
0.333,0.333,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.719,0.333
0.333,0.667,0.978,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.333,0.000,0.333
0.333,0.333,0.000,0.333
0.333,0.667,0.500,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.980,0.333
0.333,0.333,0.000,0.000
0.333,0.333,0.000,0.333
0.333,0.333,0.192,0.333
0.333,0.333,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.333,0.000,0.000
0.333,0.667,0.829,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.683,0.333
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.048,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.325,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.636,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.667,0.667,0.036,0.333
0.667,0.667,0.452,0.333
0.333,0.333,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.333
0.333,0.667,0.067,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.579,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.978,0.333
0.333,0.667,0.900,0.333
0.333,0.667,0.750,0.333
0.333,0.667,0.250,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.696,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.333,0.000,0.333
0.333,0.333,0.000,0.000
0.333,0.667,0.849,0.333
0.333,0.667,0.789,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.098,0.333
0.333,0.333,0.000,0.333
0.333,0.667,0.550,0.333
0.333,0.333,0.000,0.333
0.333,0.333,0.000,0.333
0.333,0.333,0.000,0.333
0.333,0.667,0.556,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.375,0.333
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.333,0.000,0.000
0.333,0.667,0.280,0.333
0.333,0.667,0.947,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.389,0.333
0.333,0.667,0.333,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.333,0.129,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.550,0.333
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.231,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.439,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.667,0.667,1.000,0.333
0.333,0.667,0.833,0.333
0.333,0.667,0.846,0.333
0.667,0.667,0.000,0.333
0.667,0.667,0.826,0.333
0.667,0.667,1.000,0.333
0.333,0.667,0.286,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.974,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.300,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,0.267,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.805,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.333,0.667,0.656,0.333
0.333,0.667,0.028,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.647,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.667,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.667,0.667,1.000,0.333
0.333,0.667,0.169,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.780,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.909,0.333
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.333,0.667,0.111,0.333
0.333,0.667,0.000,0.000
0.667,0.667,1.000,0.333
0.333,0.667,0.868,0.333
0.333,0.667,0.459,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.000,0.000
0.333,0.667,0.833,0.333
0.667,0.667,0.795,0.333
0.333,0.667,0.200,0.333
0.667,0.667,0.194,0.333
0.333,0.667,0.000,0.333
0.667,0.667,0.694,0.333
0.667,0.667,0.156,0.333
0.333,0.667,0.667,0.333
0.667,0.667,0.310,0.333
0.667,0.667,0.774,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.886,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.840,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.375,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.210,0.333
0.333,0.667,0.000,0.000
0.333,0.667,0.625,0.333
0.333,0.667,0.138,0.333
0.333,0.667,0.771,0.333
0.333,0.667,0.000,0.333
0.667,0.667,0.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.643,0.333
0.333,0.667,0.222,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.320,0.333
0.333,0.667,0.652,0.333
0.333,0.667,0.250,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.333
0.667,0.667,0.000,0.333
0.667,0.667,0.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.200,0.333
0.667,0.667,0.000,0.333
0.333,0.667,0.205,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.789,0.333
0.333,0.667,0.787,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.348,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.632,0.333
0.333,0.667,0.936,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.491,0.333
0.333,0.667,0.000,0.333
0.667,0.667,0.000,0.333
0.333,0.667,0.846,0.333
0.667,0.667,0.000,0.333
0.333,0.667,0.491,0.333
0.667,0.667,0.000,0.333
0.333,0.667,0.107,0.333
0.333,0.667,0.161,0.333
0.333,0.667,0.063,0.333
0.333,0.667,0.867,0.333
0.333,0.667,0.541,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.911,0.333
0.333,0.667,0.773,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.500,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.136,0.333
0.333,0.667,0.938,0.333
0.333,0.667,0.889,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.905,0.333
0.333,0.667,0.100,0.333
0.333,0.667,0.667,0.333
0.333,0.667,0.946,0.333
0.333,0.667,0.549,0.333
0.333,0.667,0.917,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.833,0.333
0.333,0.667,0.319,0.333
0.333,0.667,0.382,0.333
0.333,0.667,0.680,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.188,0.333
0.333,0.667,0.136,0.333
0.333,0.667,0.889,0.333
0.333,0.667,0.625,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.375,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.667,0.667,0.000,0.333
0.333,0.667,0.978,0.333
0.667,0.667,0.135,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.667,0.333
0.333,0.667,0.550,0.333
0.333,0.667,0.000,0.333
0.333,0.667,0.467,0.333
0.333,0.667,0.787,0.333
0.333,0.667,0.973,0.333
0.333,0.667,0.292,0.333
0.333,0.667,0.455,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.571,0.333
0.333,0.667,0.667,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.714,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.667,0.667,0.338,0.333
0.333,0.667,0.981,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.800,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.333,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.889,0.333
0.333,0.667,0.800,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.962,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.000,0.333,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.000,0.333,0.964,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.941,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.979,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.333,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.000,0.333,0.629,0.000
0.000,0.333,0.429,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.943,0.333
0.000,0.333,0.368,0.333
0.333,0.333,1.000,0.333
0.333,0.667,1.000,0.333
0.000,0.333,0.000,0.000
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.333,0.667,1.000,0.333
0.000,0.333,1.000,0.333
0.667,0.667,1.000,0.333
0.333,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.333,0.667,1.000,0.333
0.333,0.667,0.957,0.333
0.000,0.333,1.000,0.333
0.333,0.667,0.000,0.333
0.333,0.333,1.000,0.333
0.333,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.000
0.000,0.333,0.793,0.000
0.000,0.333,1.000,0.000
0.333,0.333,0.968,0.333
0.333,0.333,1.000,0.333
0.000,0.333,0.204,0.000
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.333
0.000,0.333,0.857,0.333
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.000
0.000,0.333,0.100,0.000
0.000,0.333,1.000,0.333
0.000,0.333,1.000,0.000
0.333,0.333,0.973,0.333
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.955,0.333
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.333
0.333,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.939,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.978,0.000
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.333
0.333,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.750,0.000
0.000,0.333,0.939,0.000
0.667,0.667,1.000,0.333
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.000,0.333,0.872,0.000
0.667,0.667,1.000,0.333
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.333
0.000,0.333,1.000,0.000
0.000,0.333,0.955,0.000
0.333,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.818,0.000
0.000,0.333,0.952,0.000
0.333,0.333,1.000,0.333
0.333,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.818,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.000,0.333,0.965,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.881,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.967,0.000
0.667,0.667,1.000,0.333
0.667,0.667,1.000,0.333
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.333,0.333,0.949,0.000
0.000,0.333,0.808,0.000
0.000,0.333,0.984,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.938,0.000
0.000,0.333,0.786,0.000
0.000,0.333,0.955,0.000
0.000,0.333,0.988,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.333,0.333,1.000,0.000
0.333,0.333,0.977,0.333
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.750,0.000
0.000,0.333,0.920,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.839,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.279,0.000
0.000,0.333,0.143,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.214,0.000
0.000,0.333,0.033,0.000
0.000,0.333,0.385,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.905,0.000
0.000,0.333,0.479,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.194,0.000
0.000,0.333,0.100,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.720,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.313,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.810,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.600,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.020,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.000,0.000
0.000,0.333,0.459,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,0.662,0.000
0.000,0.333,0.574,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.000,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.333,1.000,0.000
0.000,0.000,1.000,0.000
