FaunalGroup,Threat,Intensity,EcologicalGroup,PP_BestGuess,norm_Lb,norm_Ub
1,1,1,1,0.900,0.740,1.000
1,1,1,2,0.880,0.697,0.960
1,1,1,3,0.860,0.719,0.941
1,1,1,4,0.840,0.670,0.940
1,1,1,5,0.840,0.717,0.946
1,1,1,6,0.820,0.657,0.900
1,1,2,1,0.830,0.654,1.000
1,1,2,2,0.760,0.558,0.913
1,1,2,3,0.790,0.587,0.923
1,1,2,4,0.740,0.509,0.901
1,1,2,5,0.740,0.569,0.880
1,1,2,6,0.680,0.522,0.824
1,1,3,1,0.690,0.411,0.891
1,1,3,2,0.600,0.301,0.836
1,1,3,3,0.640,0.377,0.797
1,1,3,4,0.520,0.286,0.780
1,1,3,5,0.540,0.265,0.778
1,1,3,6,0.460,0.206,0.767
2,1,1,1,0.825,0.704411765,0.922058824
2,1,1,2,0.825,0.689932127,0.940328054
2,1,1,3,0.85,0.722171946,0.941798643
2,1,1,4,0.875,0.747171946,0.943269231
2,1,1,5,0.875,0.770701357,0.943269231
2,1,1,6,0.85,0.769230769,0.941798643
2,1,2,1,0.65,0.520873016,0.79968254
2,1,2,2,0.675,0.556730769,0.824038462
2,1,2,3,0.625,0.517857143,0.782142857
2,1,2,4,0.7,0.565659341,0.784340659
2,1,2,5,0.775,0.618937729,0.845054945
2,1,2,6,0.675,0.563992674,0.816776557
2,1,3,1,0.45,0.340873016,0.612698413
2,1,3,2,0.55,0.384047619,0.66952381
2,1,3,3,0.375,0.265,0.621666667
2,1,3,4,0.45,0.303461538,0.625769231
2,1,3,5,0.625,0.445128205,0.739487179
2,1,3,6,0.5,0.353754579,0.648443223
3,1,1,1,0.9125,0.805357143,0.966071429
3,1,1,2,0.9375,0.830357143,0.991071429
3,1,1,3,0.925,0.817857143,0.978571429
3,1,1,4,0.8875,0.766071429,0.983928571
3,1,1,5,0.925,0.817857143,0.978571429
3,1,1,6,0.925,0.817857143,0.978571429
3,1,2,1,0.775,0.617857143,0.932142857
3,1,2,2,0.8,0.655357143,0.916071429
3,1,2,3,0.8,0.642857143,0.903571429
3,1,2,4,0.7875,0.6,0.933928571
3,1,2,5,0.85,0.730357143,0.928571429
3,1,2,6,0.825,0.705357143,0.903571429
3,1,3,1,0.5125,0.316666667,0.716666667
3,1,3,2,0.525,0.326190476,0.703571429
3,1,3,3,0.6375,0.45952381,0.776190476
3,1,3,4,0.625,0.408333333,0.816666667
3,1,3,5,0.725,0.591666667,0.908333333
3,1,3,6,0.6625,0.548611111,0.823611111
1,2,1,1,0.920,0.760,1.000
1,2,1,2,0.900,0.717,0.980
1,2,1,3,0.860,0.719,0.961
1,2,1,4,0.840,0.670,0.960
1,2,1,5,0.850,0.717,0.966
1,2,1,6,0.810,0.638,0.920
1,2,2,1,0.830,0.665,1.000
1,2,2,2,0.790,0.622,0.947
1,2,2,3,0.800,0.628,0.943
1,2,2,4,0.750,0.554,0.920
1,2,2,5,0.770,0.607,0.910
1,2,2,6,0.710,0.541,0.877
1,2,3,1,0.720,0.507,0.909
1,2,3,2,0.640,0.348,0.886
1,2,3,3,0.680,0.480,0.837
1,2,3,4,0.580,0.380,0.807
1,2,3,5,0.610,0.454,0.836
1,2,3,6,0.540,0.320,0.810
2,2,1,1,0.85,0.776470588,0.934558824
2,2,1,2,0.8375,0.770833333,0.948529412
2,2,1,3,0.85,0.771428571,0.93960084
2,2,1,4,0.85,0.769230769,0.941798643
2,2,1,5,0.8375,0.748585973,0.944683258
2,2,1,6,0.875,0.770701357,0.943269231
2,2,2,1,0.65,0.522703081,0.807338936
2,2,2,2,0.65,0.538992674,0.814578755
2,2,2,3,0.6125,0.507261905,0.82297619
2,2,2,4,0.7,0.588992674,0.870347985
2,2,2,5,0.7,0.573608059,0.85496337
2,2,2,6,0.7,0.592857143,0.864285714
2,2,3,1,0.5,0.313935574,0.635434174
2,2,3,2,0.425,0.311428571,0.618809524
2,2,3,3,0.4,0.292777778,0.581111111
2,2,3,4,0.525,0.386428571,0.688571429
2,2,3,5,0.55,0.435897436,0.715769231
2,2,3,6,0.525,0.388333333,0.766666667
3,2,1,1,0.9,0.792857143,0.982142857
3,2,1,2,0.925,0.817857143,0.978571429
3,2,1,3,0.925,0.817857143,0.978571429
3,2,1,4,0.875,0.767857143,0.985714286
3,2,1,5,0.9,0.821428571,0.953571429
3,2,1,6,0.925,0.817857143,0.978571429
3,2,2,1,0.7625,0.605357143,0.919642857
3,2,2,2,0.775,0.60952381,0.911904762
3,2,2,3,0.75,0.594327731,0.853571429
3,2,2,4,0.75,0.576785714,0.910714286
3,2,2,5,0.8,0.708928571,0.878571429
3,2,2,6,0.8,0.680357143,0.878571429
3,2,3,1,0.5,0.291666667,0.741666667
3,2,3,2,0.525,0.327380952,0.747619048
3,2,3,3,0.5875,0.372619048,0.798809524
3,2,3,4,0.625,0.433333333,0.841666667
3,2,3,5,0.675,0.546428571,0.853571429
3,2,3,6,0.65,0.514285714,0.839285714
1,3,1,1,0.840,0.590,0.972
1,3,1,2,0.840,0.565,0.930
1,3,1,3,0.820,0.548,0.910
1,3,1,4,0.820,0.570,0.932
1,3,1,5,0.790,0.562,0.906
1,3,1,6,0.800,0.584,0.912
1,3,2,1,0.710,0.458,0.905
1,3,2,2,0.660,0.395,0.877
1,3,2,3,0.670,0.381,0.869
1,3,2,4,0.690,0.431,0.882
1,3,2,5,0.680,0.417,0.871
1,3,2,6,0.690,0.422,0.839
1,3,3,1,0.460,0.250,0.804
1,3,3,2,0.440,0.177,0.785
1,3,3,3,0.460,0.221,0.737
1,3,3,4,0.440,0.214,0.765
1,3,3,5,0.400,0.154,0.766
1,3,3,6,0.420,0.163,0.744
2,3,1,1,0.8875,0.798634454,0.936764706
2,3,1,2,0.9,0.792129929,0.952884615
2,3,1,3,0.9,0.796232493,0.950833333
2,3,1,4,0.9,0.780042017,0.9375
2,3,1,5,0.8875,0.764245314,0.940384615
2,3,1,6,0.9,0.789565826,0.9375
2,3,2,1,0.7875,0.674369748,0.919117647
2,3,2,2,0.8375,0.700274725,0.930769231
2,3,2,3,0.7875,0.669761905,0.915
2,3,2,4,0.825,0.708732493,0.912696078
2,3,2,5,0.825,0.704629929,0.916798643
2,3,2,6,0.8375,0.717129929,0.929298643
2,3,3,1,0.675,0.500420168,0.867436975
2,3,3,2,0.7625,0.603965201,0.898507326
2,3,3,3,0.675,0.507380952,0.860238095
2,3,3,4,0.7375,0.613452381,0.867738095
2,3,3,5,0.7375,0.596016484,0.871840659
2,3,3,6,0.725,0.553278388,0.891776557
3,3,1,1,0.9,0.821428571,0.982142857
3,3,1,2,0.875,0.744327731,0.95210084
3,3,1,3,0.875,0.744327731,0.95210084
3,3,1,4,0.875,0.767857143,0.985714286
3,3,1,5,0.925,0.817857143,0.978571429
3,3,1,6,0.925,0.817857143,0.978571429
3,3,2,1,0.775,0.646428571,0.917857143
3,3,2,2,0.775,0.614285714,0.928571429
3,3,2,3,0.775,0.614285714,0.928571429
3,3,2,4,0.7625,0.642857143,0.935714286
3,3,2,5,0.8375,0.742857143,0.928571429
3,3,2,6,0.8125,0.717857143,0.903571429
3,3,3,1,0.6,0.404761905,0.820238095
3,3,3,2,0.6,0.433333333,0.783333333
3,3,3,3,0.625,0.417857143,0.81547619
3,3,3,4,0.625,0.441666667,0.788888889
3,3,3,5,0.65,0.541666667,0.795833333
3,3,3,6,0.6625,0.541666667,0.783333333
1,4,1,1,0.900,0.662,1.000
1,4,1,2,0.830,0.650,0.969
1,4,1,3,0.860,0.670,0.966
1,4,1,4,0.870,0.668,0.963
1,4,1,5,0.850,0.650,0.963
1,4,1,6,0.870,0.690,0.963
1,4,2,1,0.800,0.605,0.957
1,4,2,2,0.710,0.526,0.921
1,4,2,3,0.740,0.575,0.929
1,4,2,4,0.750,0.564,0.913
1,4,2,5,0.740,0.537,0.903
1,4,2,6,0.700,0.515,0.907
1,4,3,1,0.660,0.342,0.886
1,4,3,2,0.560,0.261,0.832
1,4,3,3,0.580,0.334,0.846
1,4,3,4,0.600,0.348,0.836
1,4,3,5,0.630,0.367,0.810
1,4,3,6,0.540,0.246,0.810
2,4,1,1,0.875,0.776470588,0.958529412
2,4,1,2,0.875,0.770701357,0.961029412
2,4,1,3,0.875,0.77289916,0.961029412
2,4,1,4,0.875,0.796428571,0.961029412
2,4,1,5,0.875,0.791666667,0.961029412
2,4,1,6,0.875,0.770701357,0.961029412
2,4,2,1,0.775,0.651470588,0.861029412
2,4,2,2,0.775,0.641666667,0.883333333
2,4,2,3,0.75,0.590897436,0.857435897
2,4,2,4,0.775,0.619230769,0.868269231
2,4,2,5,0.775,0.644230769,0.868269231
2,4,2,6,0.75,0.588333333,0.8475
2,4,3,1,0.625,0.462619048,0.783809524
2,4,3,2,0.6375,0.469349817,0.748507326
2,4,3,3,0.575,0.382960928,0.70545177
2,4,3,4,0.575,0.407063492,0.763253968
2,4,3,5,0.6,0.436294261,0.753785104
2,4,3,6,0.55,0.384627595,0.751074481
3,4,1,1,0.85,0.667857143,0.982142857
3,4,1,2,0.85,0.667857143,0.982142857
3,4,1,3,0.85,0.717857143,0.982142857
3,4,1,4,0.85,0.717857143,0.982142857
3,4,1,5,0.85,0.717857143,0.982142857
3,4,1,6,0.85,0.717857143,0.953571429
3,4,2,1,0.6125,0.40297619,0.84702381
3,4,2,2,0.675,0.489285714,0.867857143
3,4,2,3,0.7,0.514285714,0.882142857
3,4,2,4,0.6875,0.544642857,0.855357143
3,4,2,5,0.725,0.542857143,0.882142857
3,4,2,6,0.675,0.492857143,0.853571429
3,4,3,1,0.375,0.194444444,0.542857143
3,4,3,2,0.4,0.219444444,0.592857143
3,4,3,3,0.45,0.25,0.612698413
3,4,3,4,0.525,0.295060332,0.687535014
3,4,3,5,0.475,0.314803922,0.665868347
3,4,3,6,0.375,0.221078431,0.630182073
